Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,5,5,0,0,0,5
BrowserAppInstanceMap,0,3,3,0,0,0,3
BrowserInterfaceBrokerImpl,0,2,2,0,0,0,2
HasValue,0,0,0,0,1,1,1
HashMap,0,19,19,0,1,1,20
HashSet,0,22,22,0,3,3,25
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
LinkedHashSet,0,1,1,0,0,0,1
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
Member,0,22,22,0,0,0,22
NSArray,0,6,6,0,0,0,6
NSDictionary,0,2,2,0,0,0,2
NSMutableSet,0,2,2,0,0,0,2
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,3,0,3,0,0,0,3
Ranges,0,6,6,0,0,0,6
UntracedMember,0,3,3,0,0,0,3
Vector,0,25,25,0,1,1,26
VectorChangedEventHandler,0,5,5,0,4,4,9
WTF::HashMap,0,3,3,0,0,0,3
WebVector,0,1,1,0,0,0,1
absl::InlinedVector,0,1,1,0,0,0,1
absl::flat_hash_map,0,1,1,0,0,0,1
absl::variant,3,6,9,0,0,0,9
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,0,11,11,0,4,4,15
base::HashingLRUCache,0,1,1,0,0,0,1
base::IDMap,0,7,7,0,0,0,7
base::LRUCache,0,2,2,0,0,0,2
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakPtr,0,0,0,0,1,1,1
base::WeakPtrFactory,0,0,0,0,1,1,1
base::circular_deque,0,4,4,0,3,3,7
base::flat_map,9,189,198,3,24,27,225
base::flat_set,102,9,111,4,1,5,116
base::queue,9,0,9,1,0,1,10
base::span,0,6,6,0,0,0,6
base::stack,1,0,1,1,0,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,0,1,1,0,0,0,1
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
list_set,0,1,1,0,0,0,1
mojo::AssociatedReceiverSet,0,2,2,0,0,0,2
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,0,4,4,0,10,10,14
span,0,0,0,0,1,1,1
std::array,0,8,8,2,1,3,11
std::atomic,0,28,28,0,1,1,29
std::initializer_list,0,0,0,0,2,2,2
std::list,27,3,30,1,0,1,31
std::map,14,314,328,2,117,119,447
std::multimap,0,2,2,0,0,0,2
std::multiset,0,2,2,0,0,0,2
std::optional,7,17,24,0,2,2,26
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,1,0,1,4
std::set,143,9,152,28,1,29,181
std::stack,1,0,1,0,0,0,1
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,6,6,0,0,0,6
std::unordered_map,1,44,45,0,9,9,54
std::unordered_set,21,6,27,1,0,1,28
std::vector,314,55,369,118,19,137,506
subtle::UncompressedMember,0,1,1,0,0,0,1
ui::ClassProperty,0,12,12,0,0,0,12
