Member Type,Production raw_ptr<T>,Production T*,Production Total,Test raw_ptr<T>,Test T*,Test Total,Grand Total
AutoReset,0,4,4,0,0,0,4
BrowserInterfaceBrokerImpl,0,1,1,0,0,0,1
HasValue,0,0,0,0,1,1,1
HashMap,0,18,18,0,1,1,19
HashSet,0,22,22,0,3,3,25
HeapHashMap,0,6,6,0,0,0,6
IAsyncOperation,0,0,0,0,2,2,2
IAsyncOperationCompletedHandler,0,0,0,0,2,2,2
IDMap,0,2,2,0,0,0,2
IIterable,0,0,0,0,3,3,3
IIterator,0,0,0,0,3,3,3
IKeyValuePair,0,0,0,0,1,1,1
IMap,0,0,0,0,1,1,1
IMapChangedEventArgs,0,0,0,0,1,1,1
IObservableMap,0,0,0,0,1,1,1
IObservableVector,0,5,5,0,4,4,9
IVector,0,2,2,0,3,3,5
IVectorView,0,0,0,0,4,4,4
MapChangedEventHandler,0,0,0,0,1,1,1
Matcher,0,0,0,0,1,1,1
Member,0,28,28,0,0,0,28
NSArray,0,7,7,0,1,1,8
NSDictionary,0,2,2,0,0,0,2
NSMutableArray,0,1,1,0,0,0,1
NSMutableSet,0,1,1,0,0,0,1
OwnedObjects,0,1,1,0,0,0,1
PriorityQueue,0,1,1,0,0,0,1
ProtectedSequenceForbidden,1,0,1,0,0,0,1
ProtectedSequenceReadable,2,0,2,0,0,0,2
Ranges,0,4,4,0,0,0,4
SafeOptional,52,0,52,0,0,0,52
UntracedMember,0,1,1,0,0,0,1
Vector,0,21,21,0,0,0,21
VectorChangedEventHandler,0,5,5,0,4,4,9
absl::InlinedVector,1,1,2,0,0,0,2
absl::flat_hash_map,14,12,26,3,4,7,33
absl::flat_hash_set,5,6,11,0,0,0,11
aura::WindowProperty,0,1,1,0,0,0,1
base::AutoReset,1,10,11,0,14,14,25
base::HashingLRUCache,0,1,1,0,0,0,1
base::HeapArray,0,1,1,0,0,0,1
base::IDMap,0,7,7,0,0,0,7
base::LRUCache,1,2,3,0,0,0,3
base::LRUCacheSet,0,1,1,0,0,0,1
base::WeakAutoReset,0,0,0,1,0,1,1
base::WeakPtr,0,0,0,1,0,1,1
base::WeakPtrFactory,0,0,0,1,0,1,1
base::circular_deque,3,0,3,2,0,2,5
base::flat_map,73,142,215,12,14,26,241
base::flat_set,96,11,107,4,1,5,112
base::queue,5,0,5,1,0,1,6
base::raw_span,1,5,6,0,0,0,6
base::span,0,5,5,0,0,0,5
base::stack,1,0,1,1,0,1,2
cc::RTree,0,1,1,0,0,0,1
flat_map,1,1,2,0,0,0,2
internal::ScopedArCoreObject,0,7,7,0,0,0,7
internal::ScopedCardboardObject,0,3,3,0,0,0,3
mojo::AssociatedReceiverSet,0,1,1,0,1,1,2
mojo::BinderMapWithContext,0,1,1,0,0,0,1
mojo::UniqueReceiverSet,0,3,3,0,0,0,3
private://Subclassesthataccessprivate/protectedmembersofMidiManager.template,0,1,1,0,0,0,1
raw_ptr,2,2,4,1,5,6,10
raw_span,0,0,0,0,1,1,1
std::array,1,21,22,2,3,5,27
std::atomic,0,38,38,0,1,1,39
std::conditional_t,1,2,3,0,0,0,3
std::deque,1,0,1,0,0,0,1
std::initializer_list,0,0,0,0,2,2,2
std::list,23,1,24,1,0,1,25
std::map,129,229,358,42,79,121,479
std::multimap,3,1,4,0,0,0,4
std::multiset,1,1,2,0,0,0,2
std::optional,11,15,26,1,6,7,33
std::pair,0,0,0,0,1,1,1
std::queue,2,1,3,2,0,2,5
std::set,134,8,142,26,3,29,171
std::tuple,0,2,2,0,0,0,2
std::unique_ptr,0,1,1,0,0,0,1
std::unordered_map,17,28,45,4,1,5,50
std::unordered_set,18,1,19,0,0,0,19
std::variant,14,5,19,0,0,0,19
std::vector,314,33,347,136,17,153,500
ui::ClassProperty,0,19,19,0,0,0,19
