File Path,Is Test File,Container Type,Protected by raw_ptr (0/1),Line Number,Full Type
android_webview/browser/aw_pac_processor.h,FALSE,std::set,1,62,"std::set<raw_ptr<Job, SetExperimental>>"
android_webview/browser/gfx/browser_view_renderer.h,FALSE,std::map,1,245,"std::map<viz::FrameSinkId, raw_ptr<content::SynchronousCompositor, CtnExperimental>>"
android_webview/browser/lifecycle/aw_contents_lifecycle_notifier.h,FALSE,std::map,0,96,"std::map<const AwContents*, AwContentsLifecycleNotifier::AwContentsData>"
android_webview/browser/metrics/visibility_metrics_logger.h,FALSE,std::map,0,128,"std::map<Client*, VisibilityInfo>"
apps/saved_files_service.cc,FALSE,std::map,1,182,"std::map<int, raw_ptr<SavedFileEntry, CtnExperimental>>"
ash/accelerators/ash_accelerator_configuration.h,FALSE,std::map,1,199,"std::map<AcceleratorActionId, raw_ptr<const DeprecatedAcceleratorData, CtnExperimental>>"
ash/accelerators/ash_accelerator_configuration.h,FALSE,std::map,1,217,"std::map<AcceleratorActionId, raw_ptr<const DeprecatedAcceleratorData, CtnExperimental>>"
ash/accelerometer/accelerometer_provider_mojo_unittest.cc,TRUE,std::map,1,142,"std::map<int32_t, raw_ptr<chromeos::sensors::FakeSensorDevice, CtnExperimental>>"
ash/accessibility/accessibility_event_handler_manager.h,FALSE,std::vector,1,52,"std::vector<raw_ptr<ui::EventHandler, VectorExperimental>>"
ash/accessibility/accessibility_prefs_merge_conflict_dialog.h,FALSE,std::unordered_map,0,77,"std::unordered_map<std::string_view, HoverHighlightView*>"
ash/ambient/model/ambient_animation_photo_provider.h,FALSE,base::flat_map,0,120,"base::flat_map<const DynamicImageAssetImpl*, PhotoWithDetails>"
ash/ambient/ui/ambient_animation_frame_rate_controller.h,FALSE,base::flat_map,1,90,"base::flat_map<aura::Window*, raw_ptr<lottie::Animation, CtnExperimental>>"
ash/ambient/ui/ambient_animation_progress_tracker.h,FALSE,base::flat_set,1,91,"base::flat_set<raw_ptr<const lottie::Animation, CtnExperimental>>"
ash/ambient/ui/ambient_animation_progress_tracker.h,FALSE,base::flat_set,1,94,"base::flat_set<raw_ptr<const lottie::Animation, CtnExperimental>>"
ash/ambient/ui/photo_view.h,FALSE,std::array,0,83,"std::array<AmbientBackgroundImageView*, 2>"
ash/app_list/apps_grid_row_change_animator.h,FALSE,std::map,0,74,"std::map<views::View*, std::unique_ptr<ui::Layer>>"
ash/app_list/model/folder_image.h,FALSE,std::vector,1,118,"std::vector<raw_ptr<AppListItem, VectorExperimental>>"
ash/app_list/views/app_list_folder_view.cc,FALSE,std::vector,1,512,"std::vector<raw_ptr<TopIconAnimationView, VectorExperimental>>"
ash/app_list/views/app_list_search_view.h,FALSE,std::vector,1,142,"std::vector<raw_ptr<SearchResultContainerView, VectorExperimental>>"
ash/app_list/views/apps_grid_view.h,FALSE,std::optional,0,1047,std::optional<AppListItemView*>
ash/app_list/views/button_focus_skipper.h,FALSE,std::vector,1,42,"std::vector<raw_ptr<views::View, VectorExperimental>>"
ash/app_list/views/contents_view.h,FALSE,std::vector,1,214,"std::vector<raw_ptr<AppListPage, VectorExperimental>>"
ash/app_list/views/continue_task_container_view.h,FALSE,std::vector,1,168,"std::vector<raw_ptr<ContinueTaskView, VectorExperimental>>"
ash/app_list/views/continue_task_container_view.h,FALSE,std::vector,1,195,"std::vector<raw_ptr<ContinueTaskView, VectorExperimental>>"
ash/app_list/views/recent_apps_view.h,FALSE,std::vector,1,105,"std::vector<raw_ptr<AppListItemView, VectorExperimental>>"
ash/app_list/views/result_selection_controller_unittest.cc,TRUE,std::vector,1,637,"std::vector<raw_ptr<SearchResultContainerView, VectorExperimental>>"
ash/app_list/views/search_result_image_list_view.h,FALSE,std::vector,1,80,"std::vector<raw_ptr<SearchResultImageView, VectorExperimental>>"
ash/app_list/views/search_result_image_list_view.h,FALSE,std::vector,1,85,"std::vector<raw_ptr<views::Label, VectorExperimental>>"
ash/app_list/views/search_result_list_view.h,FALSE,std::vector,1,151,"std::vector<raw_ptr<SearchResultView, VectorExperimental>>"
ash/app_menu/notification_overflow_view.h,FALSE,std::vector,1,64,"std::vector<raw_ptr<NotificationOverflowImageView, VectorExperimental>>"
ash/auth/views/pin_keyboard_view.h,FALSE,base::flat_map,1,76,"base::flat_map<int, raw_ptr<IconButton>>"
ash/calendar/calendar_controller.h,FALSE,std::map,1,55,"std::map<const AccountId, raw_ptr<CalendarClient, CtnExperimental>>"
ash/capture_mode/capture_mode_controller.h,FALSE,base::flat_map,0,873,"base::flat_map<aura::Window*, /*protection_mask*/ uint32_t>"
ash/capture_mode/capture_mode_menu_group.h,FALSE,std::vector,1,162,"std::vector<raw_ptr<CaptureModeOption, VectorExperimental>>"
ash/capture_mode/capture_mode_menu_group.h,FALSE,std::vector,1,171,"std::vector<raw_ptr<CaptureModeMenuItem, VectorExperimental>>"
ash/capture_mode/capture_mode_session_focus_cycler.h,FALSE,std::map,0,367,"std::map<aura::Window*, std::unique_ptr<HighlightableWindow>>"
ash/capture_mode/capture_mode_session_focus_cycler.h,FALSE,std::map,1,376,"std::map<FineTunePosition, raw_ptr<views::AXVirtualView>>"
ash/capture_mode/fake_camera_device.h,FALSE,base::flat_map,0,118,"base::flat_map<Subscription*, std::unique_ptr<Subscription>>"
ash/capture_mode/video_recording_watcher.h,FALSE,base::flat_map,0,303,"base::flat_map<aura::Window*, std::unique_ptr<WindowDimmer>>"
ash/curtain/stack_layout.h,FALSE,std::map,0,65,"std::map<views::View*, RespectDimension>"
ash/curtain/stack_layout.h,FALSE,std::map,0,66,"std::map<views::View*, VerticalAlignment>"
ash/display/display_animator.h,FALSE,std::map,0,60,"std::map<aura::Window*, std::unique_ptr<ui::LayerSolidColor>>"
ash/display/screen_orientation_controller.h,FALSE,std::unordered_map,0,291,"std::unordered_map<aura::Window*, LockInfo>"
ash/drag_drop/tab_drag_drop_windows_hider.h,FALSE,std::map,0,48,"std::map<aura::Window*, bool>"
ash/focus/focus_cycler.h,FALSE,std::vector,1,58,"std::vector<raw_ptr<views::Widget, VectorExperimental>>"
ash/focus/focus_cycler_unittest.cc,TRUE,std::vector,1,52,"std::vector<raw_ptr<views::View, VectorExperimental>>"
